cap_shape,cap_color,bruises,odor,gill_spacing,gill_color,stalk_shape,habitat,age_in_days,class
flat,red,no,pungent,distant,black,enlarging,urban,13,edible
sunken,yellow,no,foul,crowded,black,tapering,grasses,11,edible
sunken,red,no,pungent,crowded,gray,tapering,urban,13,poisonous
conical,red,no,almond,crowded,buff,tapering,urban,8,edible
bell,red,no,foul,crowded,buff,tapering,paths,1,edible
sunken,red,no,almond,crowded,black,tapering,urban,11,edible
bell,red,yes,fishy,close,gray,enlarging,meadows,5,edible
bell,red,yes,foul,crowded,black,tapering,woods,9,poisonous
bell,red,no,none,crowded,chocolate,tapering,paths,6,edible
bell,red,yes,none,crowded,buff,tapering,paths,3,edible
bell,brown,no,pungent,distant,brown,tapering,urban,2,poisonous
bell,white,yes,none,close,black,enlarging,urban,4,edible
knobbed,brown,yes,almond,distant,brown,tapering,woods,7,edible
flat,gray,yes,pungent,distant,chocolate,enlarging,grasses,3,poisonous
sunken,red,no,foul,distant,gray,enlarging,paths,13,poisonous
conical,brown,no,foul,close,chocolate,enlarging,paths,15,edible
conical,gray,no,none,close,chocolate,tapering,urban,5,poisonous
knobbed,yellow,no,foul,close,buff,tapering,urban,8,poisonous
conical,gray,no,foul,crowded,buff,tapering,woods,11,poisonous
knobbed,red,no,pungent,distant,gray,enlarging,urban,6,edible
sunken,red,no,foul,close,chocolate,tapering,paths,4,edible
knobbed,red,no,fishy,crowded,chocolate,enlarging,grasses,11,poisonous
bell,red,yes,none,crowded,brown,enlarging,grasses,13,poisonous
conical,brown,no,none,crowded,black,enlarging,urban,7,poisonous
knobbed,red,yes,pungent,crowded,gray,enlarging,meadows,10,edible
bell,gray,no,almond,crowded,gray,tapering,paths,8,poisonous
flat,yellow,yes,foul,close,brown,enlarging,grasses,15,edible
flat,brown,yes,none,crowded,black,enlarging,grasses,5,edible
bell,gray,yes,fishy,close,gray,enlarging,urban,15,poisonous
conical,red,yes,fishy,close,chocolate,enlarging,urban,12,edible
flat,yellow,no,none,crowded,buff,enlarging,meadows,12,poisonous
conical,gray,yes,pungent,distant,buff,enlarging,grasses,5,edible
knobbed,yellow,no,fishy,close,chocolate,tapering,grasses,9,edible
conical,white,yes,none,crowded,buff,enlarging,woods,13,edible
bell,white,no,fishy,distant,brown,tapering,paths,4,edible
sunken,gray,no,fishy,close,gray,enlarging,woods,7,poisonous
knobbed,red,no,fishy,crowded,gray,tapering,meadows,1,edible
flat,yellow,yes,none,close,chocolate,enlarging,grasses,8,poisonous
knobbed,white,yes,foul,crowded,chocolate,tapering,woods,7,poisonous
bell,yellow,yes,foul,crowded,black,tapering,meadows,4,poisonous
bell,yellow,yes,none,distant,gray,enlarging,woods,8,edible
bell,yellow,yes,foul,distant,black,tapering,woods,15,poisonous
knobbed,red,no,almond,crowded,gray,enlarging,urban,5,poisonous
flat,gray,no,none,distant,chocolate,enlarging,grasses,10,poisonous
sunken,yellow,yes,pungent,distant,buff,tapering,grasses,15,edible
bell,brown,yes,fishy,crowded,brown,tapering,grasses,7,poisonous
flat,white,no,foul,close,chocolate,enlarging,paths,5,edible
sunken,brown,yes,foul,close,buff,tapering,urban,13,edible
flat,white,yes,foul,close,brown,tapering,meadows,1,edible
bell,yellow,no,pungent,distant,buff,enlarging,paths,6,poisonous
knobbed,yellow,no,foul,close,gray,enlarging,paths,8,poisonous
sunken,white,no,pungent,distant,black,tapering,meadows,3,edible
bell,yellow,yes,none,close,black,enlarging,urban,6,edible
bell,gray,yes,fishy,crowded,black,tapering,paths,7,poisonous
flat,red,no,pungent,close,brown,tapering,urban,5,poisonous
knobbed,brown,no,pungent,close,brown,enlarging,paths,11,poisonous
knobbed,yellow,yes,fishy,crowded,chocolate,tapering,woods,2,poisonous
knobbed,red,no,foul,close,black,enlarging,paths,13,edible
conical,red,yes,almond,distant,buff,enlarging,paths,1,poisonous
flat,gray,yes,none,close,chocolate,tapering,woods,1,poisonous
knobbed,red,yes,almond,crowded,gray,tapering,woods,5,edible
bell,yellow,no,almond,distant,brown,tapering,woods,9,edible
flat,red,no,fishy,close,brown,tapering,paths,11,poisonous
conical,brown,yes,pungent,close,brown,enlarging,grasses,7,poisonous
flat,red,yes,fishy,crowded,chocolate,tapering,grasses,9,edible
bell,gray,yes,foul,close,buff,enlarging,urban,10,edible
sunken,brown,yes,foul,crowded,brown,enlarging,woods,11,poisonous
sunken,yellow,no,pungent,close,brown,enlarging,meadows,9,edible
knobbed,gray,no,foul,crowded,buff,enlarging,meadows,15,edible
flat,red,yes,foul,crowded,buff,tapering,woods,3,poisonous
bell,brown,no,fishy,distant,gray,enlarging,woods,10,edible
sunken,white,yes,pungent,close,chocolate,enlarging,meadows,7,edible
bell,yellow,yes,almond,crowded,buff,tapering,paths,4,poisonous
flat,white,yes,foul,close,chocolate,enlarging,urban,5,poisonous
bell,white,no,fishy,distant,buff,enlarging,urban,7,poisonous
bell,white,no,pungent,close,black,enlarging,meadows,6,poisonous
knobbed,brown,yes,pungent,crowded,gray,tapering,paths,3,edible
bell,white,no,none,distant,brown,tapering,paths,7,edible
conical,brown,yes,none,close,black,tapering,urban,3,poisonous
conical,white,yes,none,close,buff,tapering,woods,5,edible
sunken,gray,no,none,distant,gray,tapering,woods,6,poisonous
conical,red,yes,foul,distant,brown,tapering,urban,14,edible
sunken,white,no,foul,crowded,black,tapering,paths,14,poisonous
bell,yellow,no,none,close,brown,tapering,paths,5,edible
sunken,gray,no,foul,close,buff,tapering,meadows,15,poisonous
sunken,gray,no,foul,distant,gray,tapering,meadows,1,poisonous
sunken,gray,yes,none,crowded,gray,tapering,urban,6,edible
bell,white,yes,foul,distant,chocolate,enlarging,woods,1,poisonous
bell,white,yes,none,crowded,brown,tapering,grasses,1,edible
bell,red,yes,almond,close,buff,enlarging,paths,8,edible
sunken,brown,no,pungent,crowded,gray,tapering,urban,13,edible
knobbed,red,yes,almond,crowded,buff,enlarging,urban,12,poisonous
bell,gray,yes,pungent,crowded,gray,tapering,paths,12,poisonous
conical,gray,yes,none,close,black,tapering,grasses,15,edible
conical,gray,no,foul,crowded,gray,tapering,urban,12,poisonous
sunken,brown,yes,almond,distant,buff,tapering,paths,6,poisonous
bell,brown,no,foul,crowded,brown,enlarging,woods,14,poisonous
flat,red,no,pungent,distant,black,enlarging,urban,15,poisonous
flat,gray,no,fishy,crowded,black,enlarging,meadows,12,edible
sunken,red,no,pungent,crowded,black,enlarging,grasses,7,edible
flat,yellow,yes,almond,crowded,black,tapering,paths,3,poisonous
knobbed,brown,no,foul,close,chocolate,enlarging,grasses,11,edible
conical,red,no,almond,crowded,brown,enlarging,meadows,1,edible
knobbed,white,yes,foul,crowded,chocolate,enlarging,meadows,15,poisonous
sunken,yellow,no,pungent,close,black,enlarging,woods,2,edible
bell,gray,no,fishy,close,gray,enlarging,woods,2,poisonous
conical,gray,no,fishy,close,brown,enlarging,woods,10,poisonous
knobbed,red,no,fishy,crowded,chocolate,enlarging,woods,9,poisonous
conical,gray,yes,fishy,crowded,chocolate,tapering,grasses,4,edible
conical,red,yes,fishy,crowded,buff,enlarging,meadows,14,edible
flat,white,no,almond,crowded,brown,enlarging,paths,10,edible
bell,white,no,fishy,crowded,brown,enlarging,woods,1,poisonous
conical,white,no,pungent,distant,brown,enlarging,meadows,15,poisonous
sunken,white,yes,fishy,close,gray,enlarging,paths,4,edible
sunken,red,yes,fishy,distant,black,tapering,meadows,10,edible
bell,white,yes,none,distant,black,enlarging,paths,7,edible
sunken,yellow,no,fishy,distant,black,tapering,paths,7,poisonous
sunken,gray,yes,almond,distant,brown,tapering,meadows,7,edible
sunken,brown,yes,almond,distant,black,enlarging,urban,3,edible
conical,yellow,yes,almond,distant,brown,tapering,grasses,4,poisonous
flat,white,no,foul,crowded,chocolate,enlarging,paths,9,poisonous
sunken,white,yes,foul,crowded,black,enlarging,woods,4,poisonous
flat,white,yes,pungent,close,gray,enlarging,grasses,7,poisonous
knobbed,brown,yes,foul,close,brown,enlarging,paths,2,poisonous
sunken,brown,no,none,crowded,brown,tapering,urban,9,edible
bell,red,no,fishy,close,gray,tapering,meadows,13,edible
conical,gray,no,pungent,close,buff,tapering,woods,9,poisonous
bell,red,yes,pungent,crowded,gray,enlarging,grasses,13,edible
bell,white,yes,fishy,distant,chocolate,enlarging,woods,7,poisonous
knobbed,yellow,no,none,distant,black,tapering,urban,13,edible
conical,yellow,yes,foul,crowded,gray,enlarging,urban,14,edible
conical,white,no,none,close,black,tapering,woods,2,edible
knobbed,brown,yes,foul,crowded,chocolate,tapering,grasses,5,poisonous
flat,yellow,no,pungent,close,black,enlarging,urban,7,edible
knobbed,red,yes,almond,crowded,chocolate,enlarging,meadows,4,poisonous
sunken,yellow,no,almond,distant,brown,enlarging,urban,13,poisonous
flat,yellow,no,almond,close,black,tapering,paths,12,poisonous
knobbed,red,yes,fishy,crowded,gray,enlarging,urban,12,edible
sunken,red,no,fishy,close,chocolate,enlarging,paths,3,edible
knobbed,yellow,yes,foul,crowded,buff,tapering,grasses,2,poisonous
conical,gray,no,fishy,close,gray,tapering,meadows,5,edible
conical,white,no,none,distant,chocolate,enlarging,meadows,10,poisonous
knobbed,brown,yes,fishy,distant,black,enlarging,woods,15,edible
knobbed,yellow,yes,fishy,crowded,chocolate,tapering,paths,11,poisonous
flat,gray,no,almond,crowded,gray,tapering,grasses,15,poisonous
sunken,brown,yes,foul,distant,black,tapering,woods,11,edible
knobbed,red,yes,pungent,close,chocolate,tapering,grasses,15,edible
flat,white,yes,almond,close,brown,tapering,grasses,7,poisonous
flat,white,yes,foul,distant,gray,enlarging,grasses,6,poisonous
sunken,white,no,none,close,gray,enlarging,grasses,10,poisonous
conical,brown,yes,almond,close,brown,tapering,urban,14,edible
conical,gray,no,pungent,distant,buff,enlarging,woods,2,edible
conical,brown,no,almond,crowded,brown,tapering,urban,4,edible
sunken,brown,yes,foul,crowded,buff,enlarging,grasses,10,poisonous
sunken,yellow,yes,none,crowded,brown,tapering,grasses,5,edible
knobbed,gray,yes,none,crowded,black,tapering,urban,5,edible
sunken,white,yes,pungent,close,buff,tapering,urban,5,poisonous
sunken,white,no,fishy,distant,black,tapering,urban,14,poisonous
flat,yellow,no,almond,crowded,brown,enlarging,paths,2,edible
sunken,yellow,yes,foul,distant,gray,enlarging,meadows,14,edible
sunken,brown,no,fishy,distant,chocolate,tapering,meadows,10,poisonous
conical,red,no,foul,distant,brown,tapering,paths,13,edible
knobbed,white,no,foul,close,buff,tapering,grasses,9,poisonous
sunken,red,yes,foul,distant,chocolate,tapering,urban,2,edible
conical,brown,yes,foul,close,brown,enlarging,meadows,3,poisonous
bell,red,yes,fishy,close,gray,tapering,meadows,11,edible
bell,white,yes,foul,close,black,enlarging,grasses,9,poisonous
knobbed,white,yes,foul,crowded,black,tapering,paths,12,edible
conical,brown,yes,foul,distant,chocolate,enlarging,grasses,5,poisonous
bell,gray,yes,pungent,crowded,black,tapering,grasses,3,edible
flat,white,no,fishy,distant,gray,enlarging,urban,6,edible
sunken,gray,yes,none,close,black,enlarging,woods,4,edible
sunken,gray,yes,fishy,distant,chocolate,enlarging,urban,9,edible
sunken,brown,no,foul,distant,buff,enlarging,urban,7,edible
sunken,gray,no,almond,close,gray,tapering,grasses,8,poisonous
flat,white,yes,fishy,close,buff,enlarging,meadows,3,edible
sunken,red,no,almond,crowded,brown,enlarging,urban,5,poisonous
flat,gray,no,foul,distant,brown,enlarging,grasses,11,poisonous
knobbed,red,yes,pungent,distant,chocolate,tapering,paths,2,poisonous
flat,red,yes,fishy,close,brown,enlarging,urban,13,edible
flat,yellow,yes,none,crowded,brown,tapering,woods,15,edible
conical,yellow,yes,pungent,close,buff,enlarging,urban,5,edible
sunken,yellow,yes,fishy,close,black,tapering,paths,11,edible
knobbed,gray,no,none,close,brown,enlarging,grasses,1,edible
sunken,brown,no,none,distant,black,enlarging,meadows,5,edible
sunken,brown,no,none,crowded,gray,enlarging,woods,8,edible
conical,brown,no,foul,crowded,brown,tapering,urban,11,poisonous
knobbed,white,yes,almond,distant,black,tapering,woods,12,edible
knobbed,yellow,yes,pungent,distant,brown,enlarging,grasses,2,edible
knobbed,yellow,no,almond,distant,buff,tapering,grasses,12,poisonous
knobbed,yellow,no,almond,crowded,gray,tapering,grasses,3,edible
sunken,white,yes,none,distant,buff,tapering,paths,14,poisonous
knobbed,yellow,no,none,close,chocolate,enlarging,paths,7,edible
conical,yellow,no,almond,close,gray,tapering,meadows,7,poisonous
knobbed,white,yes,none,crowded,brown,enlarging,urban,3,edible
knobbed,yellow,no,fishy,crowded,chocolate,enlarging,paths,15,edible
knobbed,white,yes,none,close,brown,tapering,meadows,9,edible
bell,red,no,fishy,close,buff,enlarging,woods,11,edible
bell,gray,yes,fishy,close,buff,tapering,urban,5,poisonous
flat,yellow,yes,pungent,close,gray,enlarging,woods,13,poisonous
knobbed,yellow,no,pungent,close,gray,enlarging,woods,2,poisonous
conical,gray,yes,almond,close,gray,enlarging,grasses,6,poisonous
conical,red,no,fishy,distant,chocolate,tapering,meadows,13,edible
flat,brown,yes,almond,crowded,black,tapering,grasses,5,edible
bell,white,yes,foul,close,buff,enlarging,paths,15,poisonous
knobbed,brown,yes,fishy,crowded,buff,enlarging,meadows,12,poisonous
knobbed,white,no,pungent,crowded,gray,enlarging,meadows,1,edible
bell,red,no,almond,crowded,gray,enlarging,meadows,6,poisonous
conical,white,no,pungent,close,gray,tapering,urban,11,edible
conical,yellow,no,none,distant,buff,tapering,paths,8,edible
conical,red,no,pungent,distant,gray,tapering,paths,14,poisonous
sunken,brown,yes,almond,close,black,enlarging,woods,8,poisonous
conical,red,yes,almond,close,chocolate,enlarging,woods,3,edible
conical,red,yes,none,crowded,brown,enlarging,grasses,14,poisonous
bell,red,yes,fishy,distant,black,tapering,urban,7,edible
knobbed,brown,no,none,distant,gray,tapering,woods,2,edible
knobbed,gray,no,almond,distant,gray,tapering,urban,13,poisonous
conical,white,no,none,distant,chocolate,enlarging,urban,14,poisonous
sunken,white,yes,none,distant,black,tapering,woods,5,poisonous
conical,white,no,foul,close,gray,enlarging,grasses,6,edible
conical,white,yes,pungent,crowded,chocolate,enlarging,woods,14,poisonous
sunken,red,yes,none,crowded,buff,tapering,woods,7,edible
flat,white,no,fishy,crowded,buff,enlarging,grasses,6,poisonous
flat,gray,yes,fishy,close,black,enlarging,grasses,4,poisonous
knobbed,white,yes,almond,crowded,black,tapering,urban,3,edible
bell,yellow,yes,fishy,close,buff,enlarging,meadows,14,poisonous
knobbed,gray,yes,pungent,close,gray,tapering,meadows,12,edible
sunken,red,yes,almond,close,black,tapering,grasses,12,poisonous
conical,red,no,fishy,distant,gray,enlarging,urban,8,edible
sunken,red,yes,pungent,close,gray,tapering,urban,12,edible
flat,red,yes,none,close,black,enlarging,woods,9,poisonous
bell,white,yes,almond,distant,gray,tapering,woods,3,poisonous
sunken,gray,yes,fishy,crowded,buff,tapering,paths,6,poisonous
flat,white,no,pungent,crowded,buff,enlarging,paths,10,poisonous
sunken,red,no,almond,close,chocolate,tapering,meadows,15,edible
conical,brown,yes,almond,close,buff,enlarging,grasses,6,edible
flat,brown,no,foul,close,black,enlarging,woods,2,edible
bell,red,no,fishy,distant,black,tapering,grasses,3,poisonous
knobbed,brown,yes,almond,crowded,black,tapering,paths,3,poisonous
sunken,red,no,foul,close,buff,tapering,urban,2,poisonous
conical,red,yes,almond,crowded,black,tapering,grasses,3,poisonous
flat,red,yes,none,crowded,black,enlarging,meadows,12,edible
knobbed,white,yes,none,crowded,chocolate,enlarging,grasses,4,poisonous
knobbed,red,no,foul,close,brown,enlarging,paths,4,edible
bell,brown,yes,none,close,gray,enlarging,meadows,4,poisonous
bell,brown,no,fishy,distant,chocolate,tapering,urban,11,edible
flat,white,no,fishy,distant,brown,enlarging,paths,5,edible
conical,red,yes,foul,distant,chocolate,enlarging,paths,3,edible
flat,white,no,almond,distant,chocolate,tapering,urban,14,poisonous
bell,gray,yes,fishy,distant,black,enlarging,grasses,10,poisonous
conical,white,no,pungent,close,gray,enlarging,paths,9,edible
sunken,white,no,almond,distant,brown,enlarging,grasses,4,edible
bell,yellow,no,fishy,close,brown,tapering,grasses,3,edible
bell,brown,no,fishy,crowded,buff,enlarging,urban,1,edible
knobbed,gray,no,almond,crowded,black,enlarging,woods,13,poisonous
flat,red,no,none,distant,buff,tapering,meadows,7,edible
conical,white,yes,pungent,close,buff,enlarging,paths,15,poisonous
sunken,white,no,foul,distant,buff,tapering,paths,10,poisonous
conical,brown,no,none,close,gray,enlarging,woods,12,poisonous
conical,yellow,no,fishy,crowded,chocolate,enlarging,grasses,6,edible
sunken,brown,yes,almond,distant,black,tapering,grasses,15,edible
knobbed,yellow,no,none,close,chocolate,enlarging,grasses,1,edible
flat,gray,yes,foul,close,buff,enlarging,meadows,5,edible
knobbed,white,no,almond,crowded,brown,tapering,meadows,12,edible
knobbed,white,no,fishy,crowded,black,enlarging,paths,9,edible
knobbed,white,yes,fishy,close,brown,enlarging,grasses,8,poisonous
flat,brown,no,fishy,close,black,tapering,grasses,11,edible
flat,yellow,yes,none,crowded,black,tapering,meadows,13,edible
flat,brown,no,fishy,distant,black,tapering,paths,1,edible
sunken,white,yes,none,distant,black,enlarging,urban,8,edible
flat,yellow,yes,pungent,distant,gray,enlarging,urban,6,poisonous
conical,yellow,no,none,distant,brown,tapering,meadows,7,poisonous
sunken,white,yes,almond,distant,chocolate,tapering,meadows,9,edible
sunken,red,yes,foul,crowded,black,tapering,meadows,2,edible
knobbed,white,no,none,distant,chocolate,enlarging,grasses,10,edible
knobbed,white,yes,none,distant,gray,tapering,urban,11,poisonous
bell,gray,no,almond,close,brown,enlarging,paths,13,edible
conical,yellow,no,foul,close,buff,enlarging,woods,9,poisonous
flat,white,yes,pungent,close,brown,enlarging,meadows,8,edible
bell,gray,no,pungent,crowded,gray,tapering,meadows,5,edible
flat,white,yes,pungent,close,chocolate,enlarging,urban,15,poisonous
flat,gray,yes,pungent,close,chocolate,tapering,urban,6,poisonous
knobbed,gray,no,foul,crowded,buff,enlarging,meadows,10,edible
sunken,white,no,foul,distant,buff,enlarging,grasses,5,poisonous
knobbed,brown,yes,foul,close,brown,enlarging,paths,15,edible
bell,gray,no,almond,distant,buff,enlarging,meadows,4,poisonous
sunken,yellow,yes,fishy,close,chocolate,enlarging,woods,8,poisonous
sunken,white,no,fishy,close,buff,enlarging,grasses,8,poisonous
conical,gray,no,fishy,distant,black,enlarging,grasses,1,edible
sunken,yellow,yes,fishy,distant,brown,tapering,paths,8,edible
conical,white,no,pungent,crowded,gray,tapering,grasses,15,edible
bell,gray,yes,foul,distant,chocolate,enlarging,grasses,9,poisonous
knobbed,red,yes,foul,close,brown,enlarging,urban,13,poisonous
knobbed,red,no,almond,close,buff,enlarging,woods,11,poisonous
bell,brown,yes,pungent,close,buff,tapering,woods,8,edible
sunken,white,no,none,close,gray,tapering,paths,8,poisonous
bell,white,no,almond,distant,gray,tapering,grasses,5,poisonous
knobbed,white,no,fishy,crowded,black,tapering,urban,4,edible
conical,red,no,fishy,distant,gray,tapering,woods,9,edible
bell,gray,no,pungent,crowded,brown,enlarging,paths,10,edible
flat,brown,yes,none,close,gray,enlarging,woods,4,poisonous
knobbed,gray,no,none,crowded,buff,tapering,paths,15,edible
flat,brown,no,almond,close,black,tapering,paths,3,poisonous
conical,red,yes,almond,distant,brown,tapering,grasses,7,poisonous
knobbed,red,yes,almond,crowded,brown,tapering,woods,9,poisonous
sunken,white,yes,none,crowded,chocolate,tapering,grasses,15,edible
bell,red,yes,none,close,brown,tapering,grasses,7,edible
conical,brown,yes,almond,crowded,gray,enlarging,meadows,3,edible
flat,gray,yes,fishy,crowded,black,enlarging,grasses,10,poisonous
bell,yellow,yes,pungent,close,black,enlarging,grasses,1,edible
sunken,red,yes,pungent,distant,brown,tapering,grasses,8,edible
sunken,yellow,yes,fishy,distant,chocolate,enlarging,meadows,3,edible
flat,white,yes,none,close,black,enlarging,woods,14,edible
sunken,white,yes,almond,crowded,chocolate,enlarging,woods,12,poisonous
sunken,red,yes,pungent,crowded,buff,enlarging,woods,7,poisonous
knobbed,gray,yes,foul,crowded,chocolate,tapering,meadows,15,poisonous
bell,white,no,almond,distant,brown,tapering,urban,13,poisonous
knobbed,yellow,no,pungent,distant,chocolate,tapering,woods,15,poisonous
sunken,white,no,fishy,distant,brown,enlarging,meadows,4,poisonous
sunken,white,yes,almond,close,buff,tapering,grasses,2,poisonous
sunken,gray,no,none,crowded,buff,enlarging,paths,11,poisonous
conical,white,no,pungent,crowded,black,tapering,paths,6,poisonous
bell,red,yes,pungent,crowded,buff,enlarging,meadows,2,poisonous
conical,white,yes,foul,distant,gray,tapering,woods,5,edible
conical,gray,no,foul,close,buff,enlarging,meadows,13,edible
bell,gray,yes,pungent,close,chocolate,tapering,paths,10,edible
bell,gray,yes,fishy,close,chocolate,enlarging,meadows,10,poisonous
conical,yellow,no,foul,crowded,buff,enlarging,meadows,2,edible
conical,gray,yes,almond,crowded,brown,tapering,woods,11,edible
conical,white,yes,none,crowded,black,tapering,meadows,10,edible
flat,red,yes,foul,close,chocolate,tapering,grasses,5,edible
sunken,red,no,almond,crowded,brown,tapering,urban,7,edible
flat,gray,no,fishy,distant,buff,enlarging,urban,8,poisonous
sunken,red,no,almond,crowded,gray,tapering,urban,6,poisonous
flat,white,no,none,close,gray,enlarging,woods,4,edible
sunken,brown,yes,fishy,distant,buff,tapering,grasses,11,poisonous
sunken,brown,no,none,distant,chocolate,enlarging,woods,14,poisonous
sunken,gray,no,almond,distant,brown,tapering,grasses,15,edible
flat,gray,no,fishy,close,buff,enlarging,paths,4,edible
conical,yellow,no,none,crowded,brown,enlarging,woods,3,edible
flat,yellow,yes,none,close,chocolate,tapering,urban,11,poisonous
sunken,white,no,foul,distant,buff,tapering,paths,11,poisonous
bell,red,no,almond,crowded,black,tapering,woods,13,poisonous
bell,brown,yes,foul,crowded,buff,tapering,paths,14,edible
flat,red,no,foul,crowded,buff,tapering,grasses,1,poisonous
flat,red,no,none,distant,chocolate,tapering,urban,15,poisonous
conical,white,no,fishy,crowded,brown,tapering,urban,8,poisonous
bell,yellow,no,fishy,distant,brown,tapering,woods,6,poisonous
knobbed,red,no,foul,crowded,brown,tapering,grasses,11,edible
flat,red,no,foul,close,buff,tapering,urban,9,poisonous
bell,white,no,pungent,crowded,chocolate,tapering,grasses,13,poisonous
knobbed,white,yes,foul,close,buff,enlarging,woods,8,poisonous
bell,brown,no,foul,crowded,buff,tapering,woods,4,edible
flat,brown,yes,none,distant,black,tapering,urban,5,edible
sunken,gray,no,almond,distant,black,tapering,urban,15,edible
knobbed,gray,yes,none,distant,buff,tapering,woods,5,edible
flat,brown,no,almond,crowded,brown,enlarging,woods,15,poisonous
sunken,yellow,no,pungent,crowded,brown,tapering,paths,13,edible
bell,red,yes,fishy,close,brown,enlarging,woods,5,edible
bell,gray,no,pungent,close,brown,enlarging,paths,15,poisonous
conical,brown,no,pungent,distant,brown,tapering,woods,9,poisonous
knobbed,white,yes,foul,close,brown,enlarging,woods,12,poisonous
conical,brown,yes,fishy,close,black,tapering,grasses,8,poisonous
flat,gray,yes,almond,close,black,enlarging,meadows,13,poisonous
knobbed,red,no,pungent,crowded,brown,tapering,grasses,3,edible
bell,gray,no,foul,close,black,tapering,paths,6,edible
conical,gray,no,foul,close,chocolate,enlarging,paths,15,poisonous
flat,white,yes,pungent,close,buff,tapering,urban,6,edible
knobbed,white,yes,fishy,distant,brown,tapering,paths,14,edible
flat,gray,no,fishy,crowded,gray,enlarging,paths,8,edible
knobbed,brown,no,pungent,distant,chocolate,enlarging,woods,8,poisonous
bell,yellow,yes,pungent,close,brown,tapering,woods,4,poisonous
knobbed,red,yes,pungent,crowded,black,tapering,grasses,2,edible
bell,white,yes,fishy,crowded,black,enlarging,meadows,3,poisonous
bell,yellow,yes,fishy,crowded,buff,tapering,grasses,13,poisonous
flat,red,no,fishy,close,chocolate,tapering,grasses,14,edible
conical,white,yes,none,crowded,gray,enlarging,woods,12,edible
conical,brown,no,fishy,crowded,chocolate,enlarging,meadows,6,poisonous
conical,gray,yes,fishy,crowded,brown,enlarging,grasses,2,poisonous
sunken,red,no,almond,crowded,gray,enlarging,woods,11,edible
flat,white,yes,fishy,distant,brown,enlarging,meadows,7,poisonous
knobbed,gray,yes,none,distant,gray,tapering,paths,9,edible
knobbed,brown,no,almond,crowded,black,enlarging,paths,14,poisonous
